Y_mm,S1_RX1_Low,S1_RX2_Low,S1_RX3_Low,S1_RX4_Low,S1_RX5_Low,S1_RX6_Low,S1_RX7_Low,S1_RX8_Low,S1_RX9_Low,S1_RX10_Low,S1_RX11_Low,S1_RX12_Low,S1_RX13_Low,S1_RX14_Low,S1_RX15_Low,S1_RX16_Low,S1_RX17_Low,S1_RX18_Low,S1_RX19_Low,S1_RX20_Low,S1_RX21_Low,S1_RX22_Low,S1_RX23_Low,S1_RX24_Low,S1_RX25_Low,S1_RX26_Low,S1_RX27_Low,S1_RX28_Low,S1_RX29_Low,S1_RX30_Low,S1_RX31_Low,S1_RX32_Low,S1_RX1_High,S1_RX2_High,S1_RX3_High,S1_RX4_High,S1_RX5_High,S1_RX6_High,S1_RX7_High,S1_RX8_High,S1_RX9_High,S1_RX10_High,S1_RX11_High,S1_RX12_High,S1_RX13_High,S1_RX14_High,S1_RX15_High,S1_RX16_High,S1_RX17_High,S1_RX18_High,S1_RX19_High,S1_RX20_High,S1_RX21_High,S1_RX22_High,S1_RX23_High,S1_RX24_High,S1_RX25_High,S1_RX26_High,S1_RX27_High,S1_RX28_High,S1_RX29_High,S1_RX30_High,S1_RX31_High,S1_RX32_High
0.0000,-46.3894,-46.9165,-47.6689,-45.6527,-47.3719,-48.0120,-47.7142,-44.8705,-46.4386,-48.1063,-46.7183,-44.8426,-45.9727,-46.6869,-46.4743,-44.7527,-43.3544,-45.3334,-47.3817,-45.5044,-42.6636,-45.0259,-47.8937,-47.0362,-41.6244,-42.6964,-45.3699,-49.2910,-40.9062,-42.0395,-43.1229,-47.3324,-42.6974,-42.6928,-43.2409,-42.6246,-42.2595,-44.2710,-42.1957,-41.3588,-41.9823,-43.7284,-43.8392,-42.4109,-41.3284,-43.3129,-43.6960,-41.6445,-40.2833,-42.0426,-43.7192,-42.1865,-38.2448,-40.7706,-43.6336,-44.0580,-37.4624,-39.3495,-40.8301,-45.0884,-37.8355,-37.5592,-39.0210,-44.2599
10.0000,-47.4593,-47.2177,-46.8348,-45.8829,-45.9755,-47.5811,-46.7686,-44.9964,-46.6331,-47.0667,-47.2059,-45.8041,-45.6792,-46.3778,-47.4840,-46.5326,-44.2838,-45.6318,-47.7426,-46.2110,-42.9313,-44.6844,-47.9293,-48.0583,-42.3839,-44.2164,-46.5673,-50.7929,-41.7773,-41.2771,-42.9141,-49.0149,-42.2621,-44.4756,-42.6845,-42.3075,-43.0925,-43.8913,-42.7243,-42.1407,-41.3104,-42.4570,-42.8387,-41.2390,-40.6254,-42.9362,-42.7070,-41.5742,-40.1900,-41.7122,-43.9424,-41.7769,-38.2789,-40.1912,-43.5001,-42.9733,-38.0759,-39.9408,-41.1993,-45.2094,-36.6892,-38.7610,-40.1503,-43.4927
20.0000,-47.9246,-48.0806,-47.4773,-45.5044,-46.7202,-48.3384,-46.6642,-45.2548,-46.4251,-46.6810,-47.0639,-45.4172,-45.9305,-47.2461,-46.9781,-45.1241,-43.7091,-46.7507,-46.9704,-47.0225,-42.6863,-44.5230,-47.0081,-47.3563,-42.5572,-42.4671,-46.6698,-50.4386,-41.6314,-40.8922,-43.1107,-48.8668,-43.9956,-43.3405,-42.4028,-43.0344,-43.1566,-42.7298,-43.2542,-41.7311,-41.9792,-42.2227,-43.6831,-42.0114,-40.2941,-43.4946,-42.9343,-41.9264,-39.8022,-42.4975,-42.6788,-41.4078,-39.7400,-41.2384,-43.7347,-43.8594,-38.0464,-39.9714,-42.5680,-46.3559,-37.8135,-37.9492,-38.8752,-43.6114
30.0000,-47.2702,-48.1050,-47.8408,-46.4560,-47.5719,-47.4628,-46.8616,-45.9123,-45.6139,-47.0058,-46.5370,-45.3292,-46.1734,-47.4013,-48.0119,-44.8729,-44.1412,-45.3470,-47.3536,-45.7861,-43.6526,-44.1663,-47.1578,-47.7846,-42.2679,-42.9427,-46.7237,-48.9287,-40.5726,-42.2061,-44.0258,-48.1028,-43.1484,-43.2546,-42.9964,-42.5457,-42.4308,-43.1959,-43.5855,-42.3671,-42.3830,-43.1773,-42.8419,-41.0037,-41.7833,-43.5873,-43.6848,-42.1884,-41.1259,-41.4739,-43.5418,-42.3246,-38.7861,-40.5965,-44.0312,-43.1442,-36.9972,-39.5936,-41.2434,-45.1778,-36.3026,-37.9826,-39.1628,-43.8183
40.0000,-47.6533,-46.8961,-47.2013,-46.4996,-46.3838,-47.9544,-46.3981,-46.0359,-46.7297,-48.1754,-47.4260,-45.5160,-44.6951,-47.2222,-47.2417,-45.6182,-43.5925,-46.2171,-47.9900,-46.2283,-42.2833,-44.4265,-48.0355,-47.9796,-42.0526,-42.9432,-45.2363,-50.1015,-41.1894,-41.4035,-43.3549,-48.3049,-42.5600,-42.8948,-42.1859,-42.3336,-43.1346,-44.2623,-43.6675,-42.3556,-42.6702,-42.9883,-43.9528,-41.7115,-41.8153,-42.2658,-43.4089,-41.3784,-39.3300,-41.9277,-43.4286,-41.8931,-39.6348,-41.3639,-43.3319,-42.8759,-37.4346,-38.4950,-40.6821,-46.5195,-37.6955,-37.5834,-40.0283,-43.1194
50.0000,-47.5103,-46.8970,-47.6993,-45.2736,-47.3346,-48.0835,-46.6773,-46.7991,-46.9071,-47.5806,-47.1181,-46.3649,-44.4255,-46.7009,-46.8056,-45.3100,-44.6263,-46.7171,-48.5450,-45.3463,-43.2461,-44.9609,-48.0917,-48.1232,-41.9868,-43.7007,-45.1183,-50.3121,-42.2998,-41.2724,-43.4026,-48.2833,-43.7648,-44.3358,-42.3430,-42.5602,-43.2934,-42.5723,-42.2124,-41.5391,-41.3135,-43.4292,-41.9909,-42.3326,-41.1736,-42.6245,-43.3243,-42.6137,-40.3274,-42.9059,-44.0067,-41.7721,-39.0609,-41.1811,-42.5679,-43.5752,-37.5005,-39.2198,-41.9014,-46.1695,-36.5754,-37.2821,-40.1724,-43.8532
60.0000,-47.4947,-46.7982,-47.2729,-46.7680,-45.6622,-47.6110,-46.1265,-45.1311,-45.1891,-47.4264,-47.2329,-44.7041,-44.8729,-47.4754,-47.3694,-44.7163,-44.9902,-45.7949,-47.7160,-46.0183,-43.3141,-44.4490,-47.7800,-48.0795,-42.2624,-43.6772,-46.1134,-48.8918,-41.7028,-42.7641,-43.3028,-48.4630,-42.5815,-43.6689,-42.5405,-41.7580,-43.2100,-44.0111,-43.3926,-41.6098,-42.6218,-42.3922,-43.6592,-40.9626,-41.2285,-42.9974,-43.1372,-41.8454,-40.5124,-41.1754,-43.4145,-41.1143,-38.9416,-41.2232,-42.7899,-43.7290,-38.4353,-39.8817,-41.5555,-45.2387,-36.5482,-38.6242,-39.8502,-43.6859
70.0000,-46.7221,-46.8161,-46.7888,-46.4685,-46.1479,-47.9380,-47.1958,-45.2619,-45.9820,-48.1372,-47.6582,-46.2050,-45.2793,-47.5071,-46.8217,-45.7417,-43.5679,-45.6398,-48.0928,-46.9581,-42.6944,-45.1588,-46.4313,-47.1988,-41.4417,-42.7936,-45.4883,-49.6749,-42.0943,-42.0409,-44.3356,-48.0544,-42.2945,-43.9649,-42.9137,-41.6230,-42.7879,-44.2732,-43.1686,-41.4990,-43.0406,-43.2485,-43.8005,-41.5425,-41.0543,-42.0128,-43.7163,-41.9049,-40.5706,-42.9099,-43.5004,-42.8781,-39.1218,-40.0423,-43.9129,-43.4993,-37.6769,-39.8910,-41.1237,-46.4797,-36.5835,-38.6453,-39.1309,-43.8343
80.0000,-46.4316,-47.8080,-46.4102,-46.6349,-46.5710,-47.7320,-47.4844,-46.0380,-46.3003,-46.6808,-47.0588,-46.3401,-45.0806,-47.0711,-46.9683,-44.8405,-45.1916,-45.6095,-46.8872,-46.6184,-42.9427,-44.2867,-48.2506,-46.9681,-42.2167,-42.7232,-46.2241,-48.8492,-40.8301,-43.5600,-44.8126,-49.6728,-43.6684,-42.5212,-43.9193,-42.1124,-42.4638,-42.7052,-42.1255,-42.1851,-42.4272,-44.1205,-43.5704,-40.7513,-41.2261,-42.1772,-44.0732,-40.9338,-40.5506,-42.9125,-42.9148,-42.8486,-39.3840,-41.4503,-42.7675,-42.9355,-37.1226,-40.3088,-41.8550,-46.3802,-36.4620,-39.5500,-40.3406,-45.9316
90.0000,-47.6725,-48.5154,-47.4165,-46.5374,-47.0893,-47.1697,-46.2118,-46.7215,-47.0899,-47.7509,-47.5551,-46.6469,-44.4050,-47.6190,-46.8705,-45.5977,-43.9348,-46.5482,-48.5325,-46.8784,-42.1841,-43.8407,-47.4599,-47.5600,-41.8957,-43.4496,-46.6700,-48.3662,-41.5120,-43.4875,-43.8156,-49.3186,-44.2233,-43.8950,-42.0915,-41.4262,-43.2850,-42.7096,-43.1279,-41.9495,-41.7377,-43.3366,-42.6236,-41.3340,-41.2412,-43.1950,-43.3598,-41.7472,-41.2011,-40.9626,-44.4235,-43.1185,-38.8589,-41.1046,-42.9557,-43.2582,-39.4264,-39.3097,-42.9275,-43.9689,-36.3860,-38.6112,-40.3889,-46.4001
