Y_mm,S2_RX1_Low,S2_RX2_Low,S2_RX3_Low,S2_RX4_Low,S2_RX5_Low,S2_RX6_Low,S2_RX7_Low,S2_RX8_Low,S2_RX9_Low,S2_RX10_Low,S2_RX11_Low,S2_RX12_Low,S2_RX13_Low,S2_RX14_Low,S2_RX15_Low,S2_RX16_Low,S2_RX17_Low,S2_RX18_Low,S2_RX19_Low,S2_RX20_Low,S2_RX21_Low,S2_RX22_Low,S2_RX23_Low,S2_RX24_Low,S2_RX25_Low,S2_RX26_Low,S2_RX27_Low,S2_RX28_Low,S2_RX29_Low,S2_RX30_Low,S2_RX31_Low,S2_RX32_Low,S2_RX1_High,S2_RX2_High,S2_RX3_High,S2_RX4_High,S2_RX5_High,S2_RX6_High,S2_RX7_High,S2_RX8_High,S2_RX9_High,S2_RX10_High,S2_RX11_High,S2_RX12_High,S2_RX13_High,S2_RX14_High,S2_RX15_High,S2_RX16_High,S2_RX17_High,S2_RX18_High,S2_RX19_High,S2_RX20_High,S2_RX21_High,S2_RX22_High,S2_RX23_High,S2_RX24_High,S2_RX25_High,S2_RX26_High,S2_RX27_High,S2_RX28_High,S2_RX29_High,S2_RX30_High,S2_RX31_High,S2_RX32_High
0.0000,-47.0901,-47.0470,-47.5045,-48.3865,-46.8407,-47.5185,-48.0193,-47.7710,-45.3928,-46.8778,-49.1602,-46.9430,-45.0850,-48.4597,-47.2208,-45.7797,-46.1361,-47.5217,-47.4563,-46.0070,-47.3409,-49.8198,-45.9459,-45.4154,-49.5873,-48.2496,-45.3575,-42.8154,-51.1825,-45.2558,-42.9950,-43.4359,-42.5218,-44.0332,-43.9311,-43.4515,-41.1195,-43.7242,-43.7843,-44.7375,-41.8448,-43.6907,-43.3386,-43.5753,-42.6829,-43.0326,-44.0575,-41.9669,-41.8513,-44.1769,-44.2183,-42.2318,-43.1947,-44.7447,-41.1707,-40.7145,-45.8848,-44.0041,-40.2889,-39.0068,-47.2371,-41.6469,-40.0284,-38.1606
10.0000,-46.5639,-47.8582,-47.3123,-47.8453,-45.1610,-47.8376,-48.2581,-48.8206,-46.5751,-48.2086,-48.7598,-47.2500,-46.2108,-48.7970,-48.8580,-46.9572,-46.3196,-48.2853,-47.0778,-46.4673,-48.0282,-48.5052,-46.8416,-44.6712,-49.5813,-46.2666,-45.3072,-43.9360,-49.9178,-44.4078,-44.0803,-41.9903,-42.5694,-44.1475,-44.8531,-44.7208,-41.1263,-43.7394,-43.6143,-43.5592,-41.4670,-43.0552,-44.1582,-43.6260,-41.1030,-44.7463,-44.9816,-41.7695,-41.5815,-45.1892,-42.9800,-42.1822,-43.6108,-45.1522,-42.2732,-39.6351,-46.8525,-43.0909,-41.4342,-39.6097,-45.6416,-41.9536,-39.3412,-39.0763
20.0000,-45.5870,-47.9535,-47.7545,-48.2062,-45.3103,-47.3241,-47.6887,-47.5640,-45.3310,-47.5575,-48.5606,-48.4040,-45.6751,-47.0887,-48.3468,-46.4678,-46.6291,-49.0264,-46.4548,-44.8275,-46.6226,-49.7990,-46.8950,-44.4828,-51.0577,-47.2139,-44.2300,-44.0513,-49.9252,-45.9383,-42.7184,-42.6228,-41.3682,-44.0143,-44.1956,-44.1456,-42.6954,-43.2935,-44.3263,-43.7214,-42.4936,-43.2556,-44.6670,-42.4157,-42.6231,-43.2151,-44.3659,-42.9718,-42.9970,-43.7157,-43.4604,-40.6575,-43.1066,-44.5516,-42.9560,-41.3908,-47.1503,-43.7995,-40.0432,-39.5282,-47.3449,-40.6165,-39.3945,-39.2594
30.0000,-47.2902,-46.6979,-47.2989,-47.8328,-46.0838,-47.8869,-48.2356,-48.6056,-45.4581,-47.6431,-47.7371,-48.0040,-44.9569,-48.4323,-48.1648,-46.7087,-46.5427,-49.5184,-48.0638,-44.9709,-46.6042,-48.0846,-47.1119,-45.4392,-50.1047,-47.2403,-44.6484,-43.7195,-50.2714,-44.4075,-43.4134,-41.7200,-41.6733,-43.7631,-44.3608,-44.4344,-41.8629,-42.2843,-44.2475,-43.8659,-41.7274,-42.6687,-44.5690,-43.3756,-42.1974,-43.6831,-43.9716,-42.5536,-42.0680,-45.4112,-43.1065,-42.1233,-43.5169,-44.1697,-42.9425,-40.5222,-46.9991,-44.0333,-40.7562,-39.4688,-45.7614,-41.6254,-40.1866,-38.8006
40.0000,-46.3354,-46.2345,-47.4141,-49.1641,-45.9328,-47.9087,-48.7743,-47.2636,-46.3998,-47.2567,-47.4926,-46.6091,-46.5923,-48.1745,-49.0705,-46.6087,-46.2451,-47.7993,-46.9635,-45.5496,-47.4132,-49.3686,-45.8065,-44.8484,-50.5827,-46.4743,-44.2110,-42.4158,-50.5368,-44.4719,-43.1168,-42.1299,-41.7886,-43.5748,-43.9018,-44.5066,-42.1999,-42.9283,-43.9014,-43.2841,-41.2145,-42.5558,-44.7570,-44.0039,-42.3179,-44.5153,-43.1422,-42.4109,-43.2683,-44.8213,-42.8695,-42.1239,-42.8083,-44.6552,-41.4625,-41.0696,-45.8019,-43.6049,-41.1158,-38.3902,-45.7644,-40.4758,-39.3876,-38.4690
50.0000,-45.4945,-47.4062,-47.9884,-47.7241,-45.3247,-46.4833,-48.7871,-47.7871,-45.4442,-47.7975,-48.0244,-47.8052,-46.7251,-48.0683,-48.1802,-45.8444,-46.5722,-49.2855,-48.0423,-44.8184,-47.8397,-48.3349,-45.5493,-43.8047,-50.3423,-46.4717,-45.3727,-43.2075,-51.1625,-44.7596,-43.1042,-42.4604,-41.3150,-43.6694,-43.6982,-44.1757,-41.1354,-43.3085,-43.8046,-44.3107,-42.6410,-44.2802,-44.9315,-42.5778,-42.1208,-44.1526,-44.4001,-41.7797,-41.8063,-45.1707,-42.4125,-41.3034,-43.1741,-44.8849,-42.6488,-39.9405,-46.6415,-44.0928,-40.5259,-39.4511,-46.2953,-41.1204,-38.7976,-37.7029
60.0000,-46.6340,-47.3441,-48.0046,-48.2609,-46.2768,-47.7740,-48.3740,-47.6117,-46.0032,-46.3508,-48.7085,-46.6379,-45.0109,-48.7197,-47.4456,-47.5905,-46.4538,-48.8997,-47.8897,-45.6875,-47.1804,-49.2707,-46.1285,-45.3096,-49.8964,-47.1269,-44.8812,-43.3097,-49.7350,-45.7475,-43.3921,-42.4298,-42.8791,-42.3986,-44.7937,-44.4168,-42.8736,-43.5346,-43.2609,-43.7415,-42.5955,-42.5437,-43.9742,-43.5291,-41.0004,-43.2454,-43.2189,-42.2199,-42.8065,-44.5465,-43.7688,-40.8361,-42.9055,-44.2061,-42.9816,-41.4078,-46.9688,-43.8541,-40.1660,-39.9944,-45.9516,-41.9578,-38.4062,-38.4711
70.0000,-46.3322,-47.5495,-47.1524,-47.5729,-45.2466,-46.4838,-47.7382,-48.7989,-45.0552,-46.5484,-48.3946,-47.6481,-45.7876,-48.3031,-48.4050,-47.2519,-47.1544,-48.9530,-47.9735,-45.0110,-48.3228,-49.8814,-45.3569,-45.5087,-49.7269,-46.7875,-45.4132,-43.0629,-51.1835,-45.1097,-43.7384,-43.0294,-41.6892,-42.5260,-44.4813,-44.7572,-41.0530,-43.9804,-44.8905,-43.0782,-41.6473,-42.6821,-44.6378,-42.5945,-41.5481,-43.2318,-44.9702,-43.2017,-42.9352,-44.2088,-44.3299,-42.1810,-42.7273,-44.8453,-42.9294,-39.8834,-47.3220,-42.8694,-40.6871,-39.0670,-46.6106,-41.6888,-39.6986,-39.0404
80.0000,-46.2310,-47.9618,-47.5122,-48.2891,-46.8818,-46.8707,-47.4530,-48.5782,-45.9540,-47.9097,-47.2607,-47.6399,-45.5515,-48.0880,-48.6140,-46.4473,-45.8991,-49.1511,-48.1450,-45.7554,-47.6135,-48.1784,-46.5843,-43.8793,-49.6912,-47.7284,-43.6426,-42.7500,-53.8271,-46.0021,-43.1028,-42.8502,-41.5221,-43.3295,-44.1387,-44.0176,-42.7962,-43.9389,-44.9805,-43.7458,-42.5608,-42.8025,-43.7478,-43.0742,-41.8110,-43.9403,-43.6140,-42.8007,-42.9033,-44.8171,-42.6545,-40.7125,-44.0596,-45.8488,-41.2164,-41.3828,-47.1711,-43.5203,-39.7626,-39.3465,-49.8038,-42.0844,-40.8059,-39.6594
90.0000,-45.9059,-47.9507,-47.5493,-48.6633,-46.2297,-47.7254,-48.9492,-48.8313,-45.1547,-48.0703,-47.5434,-48.1953,-46.3103,-48.4785,-47.3561,-47.0967,-46.0251,-49.5463,-48.1068,-45.2621,-46.9653,-49.8495,-46.2159,-44.6649,-49.6112,-48.3594,-44.9639,-43.6436,-53.0518,-47.0183,-44.9926,-43.3673,-42.3371,-42.9056,-43.1649,-43.2589,-42.4704,-43.1191,-43.3834,-43.9094,-42.0823,-43.3395,-44.6529,-42.6880,-41.4472,-44.3577,-44.6644,-42.4086,-41.7086,-44.4471,-43.8571,-41.8988,-43.8290,-44.2252,-41.7418,-41.4355,-44.2308,-45.1541,-40.8322,-40.9561,-49.9277,-41.4674,-40.4233,-38.6830
