Y_mm,S2_RX1_Low,S2_RX2_Low,S2_RX3_Low,S2_RX4_Low,S2_RX5_Low,S2_RX6_Low,S2_RX7_Low,S2_RX8_Low,S2_RX9_Low,S2_RX10_Low,S2_RX11_Low,S2_RX12_Low,S2_RX13_Low,S2_RX14_Low,S2_RX15_Low,S2_RX16_Low,S2_RX17_Low,S2_RX18_Low,S2_RX19_Low,S2_RX20_Low,S2_RX21_Low,S2_RX22_Low,S2_RX23_Low,S2_RX24_Low,S2_RX25_Low,S2_RX26_Low,S2_RX27_Low,S2_RX28_Low,S2_RX29_Low,S2_RX30_Low,S2_RX31_Low,S2_RX32_Low,S2_RX1_High,S2_RX2_High,S2_RX3_High,S2_RX4_High,S2_RX5_High,S2_RX6_High,S2_RX7_High,S2_RX8_High,S2_RX9_High,S2_RX10_High,S2_RX11_High,S2_RX12_High,S2_RX13_High,S2_RX14_High,S2_RX15_High,S2_RX16_High,S2_RX17_High,S2_RX18_High,S2_RX19_High,S2_RX20_High,S2_RX21_High,S2_RX22_High,S2_RX23_High,S2_RX24_High,S2_RX25_High,S2_RX26_High,S2_RX27_High,S2_RX28_High,S2_RX29_High,S2_RX30_High,S2_RX31_High,S2_RX32_High
0.0000,-45.5925,-47.0674,-47.7499,-47.4487,-45.6384,-47.0596,-47.4618,-46.0785,-46.2095,-46.9425,-47.6755,-46.5625,-44.8517,-46.7593,-45.8934,-45.7281,-46.8687,-48.3045,-45.9988,-43.3291,-46.9040,-47.9427,-44.5842,-42.3485,-50.0789,-44.9146,-43.2513,-42.4445,-47.6347,-43.3184,-41.0686,-41.8384,-42.0923,-43.7117,-43.4462,-43.6792,-42.5446,-42.9749,-43.4798,-42.8332,-41.5944,-43.4800,-43.6607,-42.1898,-42.2253,-43.0156,-42.4082,-41.4942,-42.4544,-43.4660,-41.7760,-39.7639,-43.1032,-43.5318,-40.4273,-39.8240,-45.7404,-41.6715,-38.6171,-37.2004,-43.9535,-38.9099,-37.1969,-37.0726
10.0000,-45.9272,-47.5449,-46.3615,-47.0824,-45.8166,-46.6117,-46.8306,-46.4858,-46.0771,-46.5124,-47.2449,-46.4146,-46.0446,-47.6245,-46.6491,-45.8913,-46.8797,-47.7089,-44.8855,-43.6836,-46.2953,-47.8962,-45.0999,-43.1661,-48.9527,-46.0285,-43.8938,-43.0012,-46.9589,-42.9655,-41.3799,-41.7973,-41.5114,-42.8848,-43.8074,-42.6153,-42.2923,-43.4226,-43.8568,-43.3459,-41.4549,-43.6617,-43.8091,-41.3981,-41.7678,-43.5373,-43.2140,-40.5514,-42.4615,-43.2714,-42.2954,-39.8375,-42.8624,-42.8122,-40.9982,-38.4558,-44.9507,-41.5890,-39.6643,-38.9402,-42.9659,-39.3698,-37.9501,-37.9205
20.0000,-45.3001,-47.0575,-46.4023,-47.9758,-46.0598,-46.3122,-47.6306,-47.2781,-45.0353,-47.3390,-47.8274,-45.3425,-44.9488,-47.1734,-45.7549,-46.0642,-46.3625,-48.3446,-45.1981,-44.1609,-47.8151,-47.9740,-44.9620,-43.8471,-50.4258,-45.6245,-42.3183,-42.7020,-48.0680,-44.4346,-42.1736,-41.1679,-42.7988,-42.9117,-43.4031,-42.2110,-42.2304,-41.9215,-43.5348,-42.3496,-41.3614,-42.1653,-42.3519,-41.6526,-41.6981,-43.6052,-42.4932,-40.7213,-43.0042,-44.0567,-42.0021,-41.0120,-43.4714,-43.3615,-39.9242,-38.6953,-45.5149,-40.7619,-38.6743,-38.6979,-42.8587,-40.0823,-38.4787,-37.0570
30.0000,-45.0408,-46.1404,-46.6982,-46.1213,-45.1913,-46.0676,-47.8542,-45.7104,-45.7492,-46.5504,-47.7639,-45.6245,-46.5927,-47.1584,-46.7125,-44.9407,-47.0381,-47.1131,-44.9338,-45.1168,-47.6080,-47.5937,-44.1005,-42.3935,-48.7949,-46.0926,-42.7073,-42.8968,-48.1814,-43.4885,-42.4696,-42.2206,-41.0400,-42.7221,-43.0583,-42.1680,-42.3002,-42.2210,-43.3149,-42.6899,-41.4385,-43.5599,-43.0921,-41.7225,-41.2283,-43.7950,-41.6233,-42.0075,-42.2729,-44.1482,-41.9186,-41.0951,-43.4661,-42.7657,-40.7746,-39.1495,-44.5745,-42.5188,-39.6079,-37.6273,-42.6935,-39.2320,-37.5610,-37.4228
40.0000,-46.2790,-47.4285,-46.3787,-46.1181,-46.4301,-46.2815,-46.3720,-46.3104,-46.0080,-47.6959,-47.1744,-46.3353,-45.1296,-46.9820,-47.3908,-44.7508,-45.2303,-48.1299,-45.6656,-44.8954,-48.3032,-47.1439,-44.7627,-42.2258,-49.2968,-45.7766,-43.3739,-41.3118,-48.4376,-43.3065,-42.8124,-41.9782,-41.3731,-42.1835,-43.8228,-42.9512,-41.1451,-43.4373,-43.3129,-42.1936,-41.5405,-42.9067,-42.2321,-42.2767,-42.5321,-43.1929,-42.2797,-40.5381,-41.6095,-43.8541,-42.7982,-40.8655,-43.5186,-41.9464,-40.5180,-38.8297,-46.2559,-40.7126,-39.4086,-37.6093,-42.9160,-40.2739,-37.7492,-37.7606
50.0000,-46.3669,-46.5961,-46.6410,-47.6999,-45.7527,-46.0615,-47.4955,-46.6439,-45.2979,-46.2491,-47.7884,-45.2229,-45.4528,-46.1143,-45.5825,-44.9024,-45.5552,-46.8049,-46.1843,-43.7492,-47.1040,-47.2415,-44.8086,-42.4613,-48.5305,-45.8422,-43.7845,-41.9037,-48.0393,-43.8468,-41.3914,-40.9565,-41.7699,-43.3904,-42.9522,-42.3396,-42.0490,-43.5582,-42.9629,-42.8573,-41.5826,-42.8545,-43.5116,-42.0185,-42.5947,-42.6336,-42.4165,-41.9436,-41.9705,-42.8260,-42.1804,-40.8715,-42.4321,-43.1360,-41.4603,-39.8682,-45.4320,-40.7946,-39.0826,-38.5862,-43.4116,-39.4512,-37.7971,-37.1031
60.0000,-46.3039,-46.1115,-46.5854,-47.1879,-46.5390,-46.5885,-46.9572,-47.2502,-45.5579,-46.5208,-47.3341,-45.8589,-44.9906,-47.6297,-46.2237,-45.5701,-45.3449,-48.2339,-46.5953,-44.3569,-46.5058,-46.7352,-45.3102,-42.4123,-50.4564,-45.7092,-42.9831,-42.0812,-48.3534,-42.5991,-42.1195,-41.4305,-41.8229,-42.1171,-44.0045,-42.1984,-42.3445,-43.4690,-43.6441,-41.6842,-41.2012,-42.5049,-43.5658,-41.8211,-42.3687,-42.9386,-42.6625,-40.8888,-42.8092,-42.7785,-41.6371,-40.0596,-43.2070,-43.3573,-39.7409,-39.0835,-44.7853,-40.6207,-39.6840,-37.7023,-43.9152,-39.7903,-37.6811,-38.2656
70.0000,-46.5273,-46.4913,-46.9125,-47.4256,-45.8396,-46.9867,-47.8153,-47.1887,-46.0031,-45.9703,-46.1310,-45.6680,-44.9413,-47.3360,-45.7421,-45.1263,-45.3253,-47.2246,-45.1148,-45.0822,-48.2308,-46.7521,-44.7535,-43.3534,-48.9501,-46.1818,-42.6944,-42.6556,-47.4998,-43.3997,-41.7708,-41.8781,-42.1835,-42.6523,-42.5871,-42.5014,-41.2277,-42.1122,-43.0383,-41.5839,-41.5191,-43.2565,-42.8910,-41.8784,-41.8198,-43.2938,-43.4918,-41.4748,-41.2432,-44.0409,-42.2386,-39.8839,-44.2597,-43.9074,-41.1003,-39.2337,-45.8618,-41.2594,-39.9391,-37.3320,-43.4354,-39.7185,-38.0936,-36.5454
80.0000,-45.6394,-46.8043,-46.7843,-46.6013,-44.9845,-46.2218,-46.7210,-47.3481,-46.0386,-47.0002,-46.1745,-45.7291,-46.5035,-47.1629,-46.4085,-46.1299,-45.9957,-46.8586,-45.7627,-43.6570,-47.5966,-46.5153,-43.7383,-43.9475,-48.5284,-44.7895,-44.1651,-42.2327,-49.3570,-45.0932,-42.9052,-40.7788,-42.3391,-42.8853,-42.8172,-43.8053,-42.4076,-41.7316,-44.0824,-43.3857,-41.0175,-42.2529,-42.7320,-42.1894,-42.5772,-42.9869,-42.1845,-40.2662,-41.1614,-43.1643,-42.4433,-40.3864,-43.3548,-42.5479,-40.8308,-39.9617,-44.5039,-41.9806,-38.6521,-38.7197,-44.4976,-39.9957,-37.9395,-38.3483
90.0000,-46.0957,-46.3865,-47.4910,-46.0428,-46.1020,-46.4403,-46.9058,-47.0060,-45.2769,-47.7198,-47.2097,-45.6489,-46.3025,-46.5191,-46.4370,-45.3796,-45.5475,-47.3167,-46.6837,-44.1220,-48.0696,-46.2069,-45.2801,-43.3065,-49.0126,-45.5454,-43.8098,-43.4066,-49.4205,-45.3027,-43.5290,-41.2398,-41.1148,-43.0822,-44.3383,-41.9925,-41.3057,-42.1456,-42.2147,-41.7753,-41.2628,-43.4690,-42.0276,-41.8346,-41.1661,-42.4505,-43.4460,-40.9469,-42.6336,-44.4011,-41.6239,-40.6074,-43.4763,-42.8263,-40.5132,-39.9275,-43.9488,-42.4802,-39.7423,-38.8152,-44.5651,-40.1036,-38.8824,-36.5209
