Label,MaterialGroup,ClassIdx,Density,VoidFraction,NumVoids,Mass,Seed,RSSI_Low_RX01,RSSI_Low_RX02,RSSI_Low_RX03,RSSI_Low_RX04,RSSI_Low_RX05,RSSI_Low_RX06,RSSI_Low_RX07,RSSI_Low_RX08,RSSI_Low_RX09,RSSI_Low_RX10,RSSI_Low_RX11,RSSI_Low_RX12,RSSI_Low_RX13,RSSI_Low_RX14,RSSI_Low_RX15,RSSI_Low_RX16,RSSI_High_RX01,RSSI_High_RX02,RSSI_High_RX03,RSSI_High_RX04,RSSI_High_RX05,RSSI_High_RX06,RSSI_High_RX07,RSSI_High_RX08,RSSI_High_RX09,RSSI_High_RX10,RSSI_High_RX11,RSSI_High_RX12,RSSI_High_RX13,RSSI_High_RX14,RSSI_High_RX15,RSSI_High_RX16
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123001,-34.7335316106903,-36.0534887606175,-36.0212865573747,-34.8855993143835,-35.9685810811707,-35.7334649037731,-35.7225098973177,-36.0562871006454,-35.9885307417752,-35.7896004788718,-35.7422045032928,-36.0058804913111,-34.8207310120953,-36.0241585391808,-35.9867024210542,-34.7894014766949,-31.4250571502254,-32.622752804595,-32.5103171186527,-31.3754196251167,-32.5448077641878,-32.3754023744257,-32.2704743514886,-32.6018021603857,-32.5305687705455,-32.3889129009848,-32.348953321846,-32.6131770835216,-31.3476481605923,-32.6230392855361,-32.5847777684836,-31.3996993557852
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123002,-35.1118831541487,-36.322755667695,-36.2138131606135,-35.1211190525887,-36.3641144138705,-35.9471302814373,-35.9616274027586,-36.2893391780516,-36.2393417936194,-36.0107413771378,-35.932570967563,-36.1514794014726,-35.1243795654826,-36.2405163697012,-36.239437017899,-35.1993880656755,-30.5247816313043,-31.766559897286,-31.7306946367511,-30.5317630914708,-31.7033700914235,-31.4069436345502,-31.4285396920262,-31.7546273614996,-31.663223834734,-31.3983794226004,-31.3845946585642,-31.7158602633964,-30.4950342661604,-31.7004664265685,-31.6479824397792,-30.4358251938507
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123003,-36.2977154667234,-37.4553861124765,-37.3523049056718,-36.1716086599319,-37.339992783985,-37.029306117307,-36.9730517428265,-37.3671556606378,-37.4056135475848,-37.0207228046911,-37.1103982870065,-37.4830932830656,-36.3057646438912,-37.3163272206107,-37.3310064544012,-36.2658350632139,-30.9589711789072,-32.0997999595115,-32.1490073188512,-30.9714646084172,-32.0386809367159,-31.7394137136629,-31.8619488872761,-32.0840791527473,-32.1337747785943,-31.7436855278703,-31.7345877918674,-32.1490486816469,-30.9945634779936,-32.22919427763,-32.0519177711887,-30.9872488763696
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123004,-35.6407337196508,-36.7759339896671,-36.8546670425791,-35.5702292635335,-36.8000872525377,-36.4857685294878,-36.5473658603957,-36.764168964042,-36.920395267626,-36.4991303818722,-36.3884100957567,-36.8075404753325,-35.5406820330814,-36.8993898289288,-36.9000290916608,-35.6230687519973,-31.7282677763166,-32.8970072686536,-32.9482639629489,-31.7652533867773,-33.077007001227,-32.6784845890494,-32.6400076656083,-32.9198896111742,-32.9681742171899,-32.6042694467463,-32.7290553785317,-33.0034300294374,-31.7295022197137,-32.9367940439432,-32.9386785925415,-31.8095190102447
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123005,-34.8143604380068,-35.9566785387516,-35.8795183172352,-34.6947860222984,-36.0097446509431,-35.6087376499785,-35.6153431322731,-36.0447641363382,-35.9454989497251,-35.6133120312716,-35.535330496624,-35.9965184877628,-34.6837108749628,-36.0190825908187,-35.9335764903045,-34.7165999484825,-31.4546930124017,-32.7275355890742,-32.7843163941157,-31.4688220400934,-32.8138512082655,-32.4584002276398,-32.3404688746221,-32.8128954127759,-32.6971290433491,-32.3972526744903,-32.4057200923587,-32.7799797188562,-31.5551048533523,-32.7178230825283,-32.6104504817511,-31.5307809058712
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123006,-36.3094317987312,-37.3613421770526,-37.5056395944232,-36.2173263376186,-37.457345204648,-37.0778982693141,-37.0867902050006,-37.4165580653918,-37.435424280483,-37.1658009502591,-37.1760109101372,-37.4178896379349,-36.2421416761834,-37.3673327040277,-37.5018889166829,-36.2878159550671,-31.3543807327487,-32.4838231932383,-32.5897624342179,-31.2536388186592,-32.4794771528788,-32.3222735206572,-32.3135666222237,-32.5207988015955,-32.5130930339472,-32.2692747320311,-32.182080602746,-32.5417006419198,-31.3434283455723,-32.6321093050571,-32.5071335704994,-31.3190281704963
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123007,-35.0887236851089,-36.1785009270847,-36.1382988817473,-34.9187947877467,-36.142961735572,-35.9975863313588,-35.9420812163656,-36.2318510178416,-36.169995378752,-36.005057296694,-35.9073307423049,-36.2172479699914,-34.955974363063,-36.1956680734151,-36.2090886778871,-34.9580960625378,-31.8887751647274,-33.0630704182563,-33.0725523732652,-31.8029447498397,-33.0869839604729,-32.8392989471731,-32.7825387490611,-32.9680636396356,-32.9634957340007,-32.8838612553661,-32.8780078528028,-33.1014147932764,-31.8327519407203,-33.0629415490467,-32.9998791849833,-31.8181318236488
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123008,-34.2369075220177,-35.6025441368726,-35.4777975995678,-34.2651537642449,-35.4900068722724,-35.1924811997549,-35.2712848859907,-35.5059652337016,-35.5816833315171,-35.3270375345699,-35.261568763546,-35.5061780988614,-34.2209140894901,-35.5614320535965,-35.5337641435555,-34.2128139908886,-30.5772741933692,-31.9140308589162,-31.7997524863217,-30.6698253376085,-31.9744209699461,-31.6321944005616,-31.6010465366389,-31.9667253935056,-31.9014505795029,-31.5152124579714,-31.5633171053761,-31.9040965607887,-30.6520231068526,-31.871674094845,-31.9252447412166,-30.7124463273644
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123009,-35.5826625441935,-36.7903058699064,-36.7507404750422,-35.7286118518418,-36.8692589535871,-36.4763544393871,-36.3759510565108,-36.9009144402977,-36.877501378402,-36.4736243405905,-36.3973047958068,-36.7702170282305,-35.591830451235,-36.8518219107069,-36.7273071063655,-35.5593694593236,-31.5864135332807,-32.6826815466488,-32.7041064072522,-31.633683465133,-32.7808271845542,-32.4594062195182,-32.4460973716003,-32.7735155430936,-32.7626273052407,-32.4041767966346,-32.3937798585638,-32.7610601707953,-31.5989259075038,-32.7964087292239,-32.7014962319325,-31.6329152552729
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123010,-35.9542248517821,-37.2671375173135,-37.2959527319039,-36.0285903051634,-37.1751634445008,-36.9509359791374,-36.906247232496,-37.34825674068,-37.3698155781343,-36.842705850826,-36.8937840730956,-37.2238008744992,-36.0078050608301,-37.2540262443107,-37.2856511884217,-36.0382359089997,-30.9827078444375,-32.2011121903168,-32.2299913293732,-30.9424440824914,-32.1572549191627,-31.8547857453386,-31.8663913094557,-32.1624816417497,-32.1764022214185,-31.7853498777615,-31.811903823591,-32.2252270807736,-31.0692467880995,-32.2796404624973,-32.1878347011483,-31.0556336278698
Cement 800,cement,1,1.33001726973684,0.387088815789474,23535,800,123011,-35.5126042062184,-36.82213292642,-36.8779949850116,-35.5093955464113,-36.8401272980093,-36.460656107827,-36.4554023693953,-36.7333630262589,-36.8524322750723,-36.5237999365775,-36.4756869288949,-36.8173572162255,-35.467857529729,-36.843106280589,-36.8199776033229,-35.4824549342846,-30.6055905785891,-31.9673814085466,-32.0135387205488,-30.6553735645669,-31.9749728979962,-31.6627583830575,-31.6217552297742,-31.896423246813,-31.9658156301817,-31.6193965814985,-31.6196820040942,-32.0163474567583,-30.6627482953116,-31.9760524035838,-31.8954730534298,-30.7103972079033
