Class,Precision,Recall,F1,Support
Cement 800,1,1,1,40
Cement 900,0.951219512195122,0.975,0.962962962962963,40
Cement 1000,0.925,0.925,0.925,40
Cement 1100,0.944444444444444,0.85,0.894736842105263,40
Cement 1200,0.791666666666667,0.95,0.863636363636364,40
Cement 1300,0.971428571428571,0.85,0.906666666666667,40
Soil 700,1,1,1,40
Soil 900,0.951219512195122,0.975,0.962962962962963,40
Soil 1100,0.918918918918919,0.85,0.883116883116883,40
Soil 1300,0.82051282051282,0.8,0.810126582278481,40
Soil 1500,0.590909090909091,0.65,0.619047619047619,40
Soil 1700,0.717948717948718,0.7,0.708860759493671,40
