Y_mm,S1_RX1_Low,S1_RX2_Low,S1_RX3_Low,S1_RX4_Low,S1_RX5_Low,S1_RX6_Low,S1_RX7_Low,S1_RX8_Low,S1_RX9_Low,S1_RX10_Low,S1_RX11_Low,S1_RX12_Low,S1_RX13_Low,S1_RX14_Low,S1_RX15_Low,S1_RX16_Low,S1_RX17_Low,S1_RX18_Low,S1_RX19_Low,S1_RX20_Low,S1_RX21_Low,S1_RX22_Low,S1_RX23_Low,S1_RX24_Low,S1_RX25_Low,S1_RX26_Low,S1_RX27_Low,S1_RX28_Low,S1_RX29_Low,S1_RX30_Low,S1_RX31_Low,S1_RX32_Low,S1_RX1_High,S1_RX2_High,S1_RX3_High,S1_RX4_High,S1_RX5_High,S1_RX6_High,S1_RX7_High,S1_RX8_High,S1_RX9_High,S1_RX10_High,S1_RX11_High,S1_RX12_High,S1_RX13_High,S1_RX14_High,S1_RX15_High,S1_RX16_High,S1_RX17_High,S1_RX18_High,S1_RX19_High,S1_RX20_High,S1_RX21_High,S1_RX22_High,S1_RX23_High,S1_RX24_High,S1_RX25_High,S1_RX26_High,S1_RX27_High,S1_RX28_High,S1_RX29_High,S1_RX30_High,S1_RX31_High,S1_RX32_High
0.0000,-39.0620,-36.4880,-36.1685,-34.1902,-38.5804,-37.8861,-36.9219,-34.2976,-37.8606,-37.4180,-35.6433,-31.7732,-38.4058,-36.7342,-35.4893,-33.8577,-39.0649,-37.2598,-35.9271,-33.6239,-37.6018,-37.7252,-35.9815,-33.1105,-37.9436,-36.9940,-36.5866,-33.6622,-39.1146,-39.0054,-36.5679,-33.6657,-34.9445,-32.8727,-30.3628,-30.2689,-34.5479,-33.0398,-30.9274,-28.8756,-34.6683,-33.3157,-31.1777,-30.2708,-34.7656,-34.3855,-32.2197,-29.0599,-34.4149,-34.1462,-30.6289,-30.0370,-35.9810,-32.5406,-32.3873,-29.8651,-34.6969,-33.6486,-32.9800,-28.9889,-35.0636,-33.3603,-31.2227,-30.4542
10.0000,-38.9126,-37.0655,-37.1415,-32.9237,-38.7465,-38.0620,-35.2402,-35.1930,-38.5664,-38.0788,-35.7866,-32.8897,-39.4335,-37.4282,-35.7333,-31.6601,-38.3935,-38.1589,-36.5944,-33.7877,-39.6070,-36.0522,-36.7978,-33.7996,-40.1862,-37.1955,-35.1108,-33.4367,-38.0134,-36.9790,-35.6912,-33.7230,-35.2881,-32.6492,-31.3880,-30.2992,-34.1666,-33.8456,-30.9435,-29.7179,-34.7599,-33.7784,-31.6354,-29.1056,-33.7299,-32.9608,-31.5638,-29.2185,-34.6815,-33.0171,-30.8824,-30.2330,-34.7647,-33.4852,-30.5161,-28.8123,-34.3506,-33.0571,-31.8276,-29.7436,-34.9964,-32.5601,-31.5719,-31.4858
20.0000,-37.9512,-38.1498,-36.1404,-33.7728,-40.0750,-36.9762,-35.0078,-32.8206,-37.6929,-37.7516,-35.0798,-32.8146,-38.7673,-35.7068,-35.2414,-34.4408,-39.1178,-36.6941,-35.0844,-34.0293,-37.3715,-38.0748,-34.9853,-33.4375,-37.9609,-38.6811,-35.0871,-34.7771,-39.3526,-38.3986,-36.3698,-33.5908,-33.2398,-32.1965,-32.4179,-29.8743,-34.9630,-33.3629,-31.5279,-28.9778,-34.8418,-33.5191,-30.5910,-30.1700,-34.9089,-32.6497,-32.0501,-31.2000,-34.1203,-32.6225,-32.5993,-28.7410,-35.2852,-33.6445,-32.2805,-29.0246,-36.3326,-32.3220,-32.2025,-30.8746,-34.6852,-32.7815,-31.5871,-29.8265
30.0000,-38.8123,-37.3028,-33.8849,-34.2919,-38.6291,-38.1276,-36.1906,-34.2852,-37.8416,-36.5999,-35.4570,-34.3326,-39.9679,-36.0424,-35.8727,-33.9525,-39.0725,-37.4787,-35.7621,-32.7090,-38.3505,-36.4283,-34.7739,-34.4282,-38.0931,-36.5612,-35.0123,-33.8951,-40.0219,-37.5767,-37.1129,-32.3791,-35.2262,-32.1890,-31.8953,-29.4087,-35.1097,-33.6274,-31.2606,-30.2732,-34.4152,-32.8079,-32.8092,-29.1316,-35.6639,-33.7554,-31.8949,-28.7602,-34.1457,-33.6417,-32.6460,-29.6323,-35.5903,-33.2936,-32.3267,-30.2251,-35.2359,-33.2683,-31.5402,-29.1560,-35.1686,-33.6390,-31.7078,-29.1799
40.0000,-39.2988,-37.5454,-34.6601,-34.8545,-37.1806,-37.2758,-34.5468,-34.0293,-39.5493,-37.3971,-36.3859,-34.6332,-38.9197,-35.5275,-34.6386,-33.5768,-37.7944,-38.2302,-35.9497,-34.1404,-37.4274,-37.3853,-36.7953,-33.5305,-38.0778,-36.5130,-34.9547,-33.9674,-40.0775,-36.5538,-35.6317,-32.0173,-35.0099,-33.2238,-31.0090,-29.5861,-34.7047,-32.5473,-31.0336,-28.9946,-33.7836,-33.4294,-31.5197,-30.7646,-33.0978,-32.4609,-31.3865,-29.4197,-33.6895,-32.4267,-29.8958,-29.5337,-35.3067,-33.7452,-32.4341,-30.5559,-35.9479,-33.3659,-31.8872,-30.6016,-34.9150,-32.2072,-31.3123,-30.1852
50.0000,-37.0868,-37.7113,-35.1145,-34.3250,-38.8169,-35.9758,-36.2011,-33.5642,-40.2392,-36.5108,-35.7285,-32.9016,-38.3243,-36.6195,-35.1666,-33.1985,-38.4596,-36.8169,-36.5377,-33.6139,-36.9654,-37.1796,-34.3984,-33.9691,-38.1649,-38.1910,-36.7820,-35.5162,-39.2725,-35.9871,-35.8226,-32.8227,-34.2418,-32.1333,-31.3727,-30.4953,-33.6013,-33.4061,-32.1875,-28.6122,-35.2123,-32.0646,-31.7804,-28.4634,-33.8347,-32.8742,-30.5484,-28.2559,-36.2476,-33.5171,-32.4993,-30.2871,-33.6881,-32.8710,-31.5443,-29.0477,-35.2082,-34.1025,-32.8998,-28.6357,-35.7422,-34.2852,-31.8380,-30.2611
60.0000,-37.9631,-38.2320,-34.8451,-34.6923,-39.3367,-37.3050,-36.4271,-33.0480,-38.8175,-38.4043,-36.4690,-33.8083,-38.2811,-35.9411,-36.5093,-32.4025,-37.6463,-38.3508,-35.1286,-34.0015,-40.3778,-36.3967,-36.3846,-33.0925,-38.5446,-37.9879,-36.4899,-34.7728,-39.6019,-38.7068,-35.1293,-32.6084,-35.6267,-34.0055,-32.8169,-29.5346,-35.9151,-34.1783,-30.5392,-29.5265,-34.0710,-33.4806,-31.4082,-28.4029,-34.1775,-32.9540,-32.4553,-29.9087,-34.3915,-32.3339,-31.7973,-30.1977,-34.1304,-33.3939,-29.9116,-29.1731,-34.3995,-32.8487,-31.2265,-29.0436,-35.6151,-34.1921,-31.0724,-30.3964
70.0000,-37.6786,-38.2513,-36.8516,-34.1455,-38.0393,-37.1649,-35.8435,-33.9480,-39.1294,-36.9553,-34.3306,-34.3745,-38.1044,-37.3969,-37.1747,-33.2095,-38.8097,-36.6517,-34.9021,-32.5760,-38.8706,-38.3679,-36.9088,-33.3790,-37.6194,-37.5383,-36.0162,-33.7607,-38.4530,-37.2810,-36.7702,-34.6380,-34.5106,-32.1711,-31.3972,-28.8061,-34.9841,-32.6584,-33.7620,-30.5276,-34.0340,-32.9454,-32.1073,-27.8088,-33.8584,-33.5661,-31.5227,-29.8781,-35.1863,-33.5898,-32.4370,-29.6246,-34.7741,-32.6180,-32.2225,-30.0924,-33.9811,-32.3086,-31.4697,-29.9896,-34.8508,-32.7924,-33.0702,-30.6567
80.0000,-38.2776,-36.1467,-35.4906,-33.3807,-36.9655,-36.8007,-36.0135,-33.1632,-38.7156,-37.9883,-36.8912,-33.1311,-39.0308,-38.6417,-35.3583,-32.6504,-37.6613,-38.3782,-34.7428,-34.0342,-39.7107,-36.3884,-34.7192,-32.8338,-38.2677,-37.8864,-35.9848,-33.1582,-37.4416,-37.9296,-35.1779,-33.6218,-34.1870,-32.8198,-31.0498,-28.8537,-34.2261,-33.8802,-32.6622,-29.9674,-34.0926,-33.3493,-30.9524,-30.3917,-34.2559,-33.4053,-30.8107,-30.8987,-33.8913,-32.3274,-31.7756,-28.4751,-35.7026,-32.0186,-32.1370,-29.3342,-34.3420,-33.5059,-33.1354,-30.2754,-35.6870,-32.5744,-32.8288,-29.9606
90.0000,-37.6761,-36.8303,-36.9384,-35.4592,-37.3301,-37.7497,-35.4883,-33.8531,-38.3249,-36.7795,-35.1674,-33.1414,-39.4495,-36.3678,-35.9883,-34.1433,-39.0146,-36.7967,-34.4371,-33.6361,-38.7854,-38.5163,-35.5140,-33.4787,-38.0265,-37.8377,-34.5251,-34.5833,-39.4239,-38.8523,-35.5382,-34.5370,-33.8347,-34.5225,-32.5229,-29.4639,-35.3058,-32.2702,-32.4972,-30.3255,-33.2678,-32.9108,-30.7747,-30.4753,-35.2217,-32.3882,-31.0444,-30.0064,-34.1681,-33.8322,-31.1807,-28.3173,-33.4300,-34.3629,-32.5915,-29.4517,-34.5937,-34.6615,-32.6185,-30.3466,-35.6437,-33.2038,-31.7612,-29.4989
100.0000,-37.8938,-37.0931,-35.6580,-35.0658,-38.6447,-39.5018,-35.8260,-34.2052,-38.1072,-37.5973,-34.9406,-32.3934,-39.8392,-37.8646,-34.6505,-35.1187,-38.5357,-37.6520,-34.9213,-32.7879,-39.7960,-38.0741,-37.2210,-32.6089,-38.9166,-36.5252,-35.0946,-34.1714,-37.3776,-36.2006,-35.9361,-34.2642,-33.8945,-32.2058,-32.2315,-29.0914,-34.4244,-33.4938,-31.4942,-28.5369,-34.0043,-33.8702,-31.0101,-28.5217,-34.5331,-31.9761,-32.0107,-29.1931,-34.9790,-32.1251,-31.9084,-29.3026,-34.7280,-32.6204,-32.1308,-29.0904,-34.4118,-34.3608,-31.9160,-29.3471,-35.6837,-33.4908,-32.2557,-31.0084
110.0000,-38.5041,-38.1305,-36.7598,-33.1382,-38.5482,-37.2288,-34.4603,-32.8001,-38.9182,-37.7952,-36.3763,-33.1775,-38.0401,-37.5079,-34.7941,-33.9971,-38.7659,-37.4040,-36.1986,-34.9212,-38.0552,-37.3166,-36.2688,-34.5235,-38.8278,-37.1396,-35.4471,-34.9905,-38.3198,-37.6648,-36.2377,-34.6467,-35.0086,-33.0010,-32.0452,-29.7630,-34.7676,-33.1678,-32.4920,-30.3602,-35.2194,-32.1029,-32.4643,-29.3222,-33.0333,-33.5697,-31.9720,-29.3340,-33.5802,-32.6148,-30.8683,-29.8930,-35.0322,-33.9390,-30.9533,-30.3199,-33.9555,-34.2977,-31.4942,-30.1355,-34.7224,-33.4063,-30.0192,-30.5527
120.0000,-39.1765,-36.2518,-36.8098,-33.8607,-37.4515,-38.0872,-35.9183,-33.6424,-37.4714,-35.5709,-36.2084,-32.8985,-37.1591,-36.8212,-35.7027,-33.2146,-38.1770,-38.2329,-35.5181,-33.2236,-38.6686,-35.8270,-35.6798,-32.9937,-38.2288,-37.1889,-36.4142,-33.3326,-37.5880,-37.3267,-35.8393,-35.3341,-34.4269,-33.6802,-30.8674,-30.0461,-36.3717,-34.0466,-32.1557,-30.2467,-35.2811,-34.1516,-31.3631,-28.7146,-34.5380,-33.0426,-31.1916,-29.9264,-35.1442,-32.8750,-32.1599,-28.3438,-33.8607,-31.8177,-32.2866,-28.8839,-34.2536,-33.2992,-31.3858,-29.8180,-35.9837,-34.2687,-31.0671,-29.8327
130.0000,-38.1637,-37.1824,-35.5889,-34.2069,-39.4086,-37.4658,-35.6279,-33.9328,-39.6041,-37.8783,-36.0072,-33.0528,-39.3386,-38.2017,-35.2273,-34.0429,-37.8563,-37.6511,-34.3433,-34.0254,-38.6307,-37.0988,-35.7651,-34.6155,-37.9412,-37.7197,-35.6227,-33.2209,-39.2667,-37.3808,-36.1896,-33.2792,-34.9146,-33.9726,-31.7452,-29.6083,-35.0600,-33.2278,-30.4943,-29.4981,-34.5044,-33.0452,-33.0497,-29.8714,-34.2173,-33.6883,-30.8737,-29.3594,-35.0102,-33.9567,-30.5659,-30.5769,-33.8488,-33.9394,-31.7130,-29.8586,-34.7354,-34.1221,-30.2454,-29.5521,-35.5852,-33.0301,-33.3439,-30.6582
140.0000,-39.1333,-36.9965,-36.7293,-32.8260,-39.4533,-37.8233,-35.1676,-33.7760,-37.9136,-35.8720,-35.9074,-33.5284,-38.8601,-36.4733,-36.4406,-34.5109,-40.1764,-37.6034,-34.4570,-33.8953,-37.6780,-37.6740,-34.8737,-33.5082,-38.4968,-37.6637,-35.5060,-34.4733,-37.9267,-37.3644,-35.8708,-33.6562,-34.9305,-33.8090,-31.1565,-29.8148,-35.5717,-32.3787,-31.8248,-30.1275,-34.2468,-34.4333,-30.5705,-30.3032,-34.6859,-32.1488,-30.1452,-28.0682,-34.9515,-32.1889,-31.9988,-28.9359,-34.8626,-34.4175,-32.3167,-29.2078,-34.6244,-33.1913,-31.3987,-29.5825,-35.4446,-32.8681,-33.1732,-29.5309
150.0000,-38.9086,-37.1242,-36.6214,-34.7869,-38.7591,-36.8616,-35.4011,-34.0607,-38.1677,-37.3122,-36.3966,-34.0081,-37.3526,-37.5617,-35.5001,-33.1183,-39.3215,-37.3036,-34.9183,-33.2699,-39.0191,-38.3887,-35.1686,-32.9701,-39.0225,-36.8648,-36.4212,-33.2590,-38.5467,-38.1733,-35.8938,-34.0930,-34.9845,-32.8841,-31.9220,-29.1801,-33.3503,-32.5563,-30.1092,-28.7257,-36.0031,-33.1339,-31.6939,-30.7852,-34.2928,-31.7451,-31.4817,-29.4271,-34.5249,-32.4437,-31.3231,-27.5500,-34.1127,-34.1249,-31.8085,-29.1567,-34.7128,-33.9783,-32.6628,-30.3167,-34.5471,-32.8224,-32.9046,-29.8576
160.0000,-39.9759,-37.9272,-35.8817,-34.9910,-40.1183,-36.4789,-36.3417,-32.9603,-40.0608,-38.1565,-34.9311,-32.6720,-39.0198,-35.7410,-35.7614,-34.4866,-37.3676,-36.0400,-36.3282,-34.3453,-38.5147,-36.3414,-36.4774,-33.6328,-39.0171,-36.5865,-35.7405,-33.9075,-39.3422,-37.5641,-34.9412,-34.5958,-34.8145,-32.4936,-32.9731,-29.5854,-34.1343,-34.8427,-30.7908,-29.4072,-35.0426,-33.1983,-30.8464,-30.4855,-34.8802,-32.2410,-29.7470,-29.8874,-34.1926,-33.6382,-31.8267,-30.0206,-35.4157,-32.7670,-31.1007,-30.0760,-35.7400,-32.2889,-31.4166,-31.4458,-36.1322,-33.0001,-33.1663,-32.2426
170.0000,-39.3648,-36.6577,-36.2465,-34.3279,-37.7128,-36.0869,-34.9543,-33.1465,-39.9545,-36.2184,-35.8654,-34.4189,-38.1979,-36.9590,-35.9098,-31.9940,-38.0024,-37.7470,-36.5446,-32.3788,-38.6703,-35.4788,-37.0948,-33.9987,-38.9706,-36.7387,-35.8986,-33.2719,-38.9141,-37.5352,-34.6470,-34.3978,-34.9700,-32.9524,-31.8573,-29.8745,-33.7393,-32.7361,-32.7869,-29.9814,-34.4396,-31.6958,-30.6499,-29.4558,-33.8048,-33.6394,-32.2131,-30.0580,-34.3606,-32.6715,-29.7341,-30.3948,-35.1584,-33.8017,-30.7860,-29.1327,-34.3491,-33.9769,-30.7835,-30.0630,-34.6883,-33.8090,-32.5943,-30.4851
180.0000,-38.6720,-37.2968,-36.1082,-33.5406,-39.9565,-35.7662,-34.8107,-33.3857,-38.6274,-37.3608,-34.7152,-33.5346,-38.1131,-37.5384,-33.5442,-34.2030,-38.6076,-36.7611,-36.3115,-33.8118,-39.2509,-38.0889,-35.7124,-34.4817,-37.6932,-37.4615,-35.1903,-32.1700,-39.9191,-38.1339,-34.2931,-34.8685,-33.7668,-32.8525,-32.7209,-28.7128,-34.3162,-33.0067,-32.7183,-30.1259,-34.0316,-31.6921,-31.7107,-29.1118,-34.2646,-31.9490,-32.2484,-29.3272,-34.2149,-31.9959,-30.8281,-28.7809,-34.6675,-33.2560,-31.5413,-29.6643,-33.8343,-34.6266,-32.0841,-29.7708,-34.4399,-33.5135,-32.6506,-30.8830
190.0000,-37.5485,-38.0031,-37.2871,-34.7008,-38.3749,-36.7851,-35.4175,-33.6061,-39.4727,-36.7180,-36.3144,-33.7447,-39.0812,-36.1585,-35.5622,-33.6091,-38.2015,-37.3948,-33.4876,-33.0134,-39.3357,-36.6407,-37.0186,-33.1987,-38.2392,-36.4938,-36.8968,-32.8306,-39.4229,-37.6150,-34.8321,-33.4738,-34.5108,-32.0682,-32.2535,-30.0019,-33.0620,-33.4808,-31.5774,-30.4644,-34.1868,-33.2464,-31.6293,-28.9540,-34.7693,-33.7020,-33.1172,-28.2284,-33.7196,-33.7384,-31.4583,-30.5750,-35.8550,-34.2735,-34.0931,-29.5263,-35.9138,-32.8402,-31.2873,-29.6480,-34.8947,-34.2960,-32.7559,-29.1530
200.0000,-39.7430,-38.2870,-36.0304,-33.2819,-38.7858,-36.7371,-35.7607,-32.7349,-38.9412,-36.7738,-36.5445,-34.4578,-39.0375,-36.3325,-36.3277,-32.8458,-39.2094,-37.4920,-34.8007,-32.3645,-38.6431,-38.2328,-36.9635,-33.4855,-39.5376,-36.5179,-35.7263,-34.1502,-38.5386,-36.9443,-38.0387,-35.3226,-34.6926,-33.8361,-32.0514,-30.0400,-35.6848,-31.9954,-31.7913,-30.4438,-33.5960,-32.0998,-31.1134,-29.5563,-35.5151,-34.5124,-30.8706,-30.8433,-34.9467,-32.5327,-32.0092,-29.5176,-36.9433,-33.4075,-31.2191,-29.9508,-34.1381,-32.4647,-30.9408,-29.5616,-35.6859,-32.8274,-33.1566,-30.9498
