Y_mm,S1_RX1_Low,S1_RX2_Low,S1_RX3_Low,S1_RX4_Low,S1_RX5_Low,S1_RX6_Low,S1_RX7_Low,S1_RX8_Low,S1_RX9_Low,S1_RX10_Low,S1_RX11_Low,S1_RX12_Low,S1_RX13_Low,S1_RX14_Low,S1_RX15_Low,S1_RX16_Low,S1_RX17_Low,S1_RX18_Low,S1_RX19_Low,S1_RX20_Low,S1_RX21_Low,S1_RX22_Low,S1_RX23_Low,S1_RX24_Low,S1_RX25_Low,S1_RX26_Low,S1_RX27_Low,S1_RX28_Low,S1_RX29_Low,S1_RX30_Low,S1_RX31_Low,S1_RX32_Low,S1_RX1_High,S1_RX2_High,S1_RX3_High,S1_RX4_High,S1_RX5_High,S1_RX6_High,S1_RX7_High,S1_RX8_High,S1_RX9_High,S1_RX10_High,S1_RX11_High,S1_RX12_High,S1_RX13_High,S1_RX14_High,S1_RX15_High,S1_RX16_High,S1_RX17_High,S1_RX18_High,S1_RX19_High,S1_RX20_High,S1_RX21_High,S1_RX22_High,S1_RX23_High,S1_RX24_High,S1_RX25_High,S1_RX26_High,S1_RX27_High,S1_RX28_High,S1_RX29_High,S1_RX30_High,S1_RX31_High,S1_RX32_High
0.0000,-37.0655,-38.2525,-36.7252,-33.7975,-38.4628,-37.2135,-36.2086,-34.4165,-38.0673,-36.9325,-36.1157,-34.6873,-38.2138,-37.8928,-35.0444,-32.8252,-37.7664,-36.2098,-34.7941,-33.7490,-38.7574,-37.7270,-34.9983,-32.8086,-38.4115,-37.8965,-35.4072,-33.2351,-38.5629,-37.9174,-34.6122,-33.0975,-35.1786,-32.9018,-31.8043,-30.0621,-33.7751,-34.6432,-30.8267,-29.1342,-33.6141,-33.7156,-30.2624,-29.2410,-34.0769,-33.1132,-32.0997,-30.8961,-34.7275,-33.0859,-30.3061,-30.8763,-34.1173,-34.1255,-33.1027,-28.8353,-33.5532,-33.4864,-32.5992,-30.4552,-33.9720,-34.9206,-31.0594,-31.1240
10.0000,-40.1196,-36.6746,-34.3065,-34.2201,-38.2751,-37.4976,-35.3245,-32.6953,-39.1508,-37.1284,-34.7551,-34.2717,-38.6900,-36.4799,-35.7258,-32.7916,-36.9877,-35.8514,-35.2239,-34.3703,-37.1648,-36.8332,-34.4929,-33.7794,-39.6891,-37.7803,-35.8570,-35.2908,-37.6663,-36.8166,-36.1398,-34.9349,-33.8807,-32.7861,-31.1494,-30.9924,-34.7846,-33.7203,-32.3279,-29.4359,-34.4970,-33.8496,-31.9963,-30.1236,-34.3136,-32.1496,-33.1203,-28.1461,-35.3399,-33.5110,-31.6953,-29.3345,-35.3511,-33.5101,-30.7306,-30.4258,-33.9579,-34.1697,-32.9700,-28.8769,-34.3299,-34.5266,-31.9758,-29.1184
20.0000,-37.1150,-38.2877,-35.9774,-34.7640,-39.6984,-36.6858,-34.3363,-33.3037,-39.6525,-37.0878,-35.3908,-33.1814,-37.8597,-38.4210,-36.0499,-32.6239,-37.6020,-36.3243,-34.5761,-32.4591,-38.1802,-36.6030,-35.2668,-33.9368,-39.5011,-37.2377,-33.8051,-33.7487,-38.5658,-38.0553,-37.4158,-35.3637,-33.4689,-33.0470,-33.0616,-30.9627,-34.8497,-32.0504,-32.1261,-29.4057,-33.6263,-32.6113,-31.8480,-29.6491,-35.0245,-32.2754,-31.3431,-30.3784,-35.2390,-32.1564,-31.8927,-30.6494,-34.0208,-31.7977,-32.3566,-28.1855,-33.8903,-33.2501,-31.4007,-30.2872,-34.5030,-33.6168,-32.6033,-29.2078
30.0000,-37.3864,-37.1740,-36.2135,-34.5633,-38.2673,-38.2478,-34.4587,-35.0452,-38.0537,-38.2097,-34.3556,-33.3324,-38.5991,-38.0237,-35.2460,-34.0909,-39.1350,-37.4028,-34.8882,-32.1557,-39.3128,-37.1644,-35.4823,-33.7519,-39.4902,-37.1344,-34.9231,-34.3424,-39.5287,-38.4891,-35.6097,-33.9374,-34.6143,-33.7657,-32.2891,-29.9730,-34.7500,-33.7936,-32.2264,-29.2083,-33.6781,-34.0142,-31.9427,-28.8021,-34.2775,-33.5137,-31.1944,-29.9328,-35.3758,-32.6985,-32.7829,-29.3989,-34.3422,-34.0769,-31.9630,-28.2101,-35.0542,-34.9038,-31.7912,-30.3742,-35.1180,-33.9873,-30.7025,-30.7295
40.0000,-39.3663,-37.1443,-37.4197,-33.2789,-39.1871,-36.6540,-35.8472,-33.5859,-37.5390,-35.7407,-36.1382,-33.6892,-37.7239,-37.1144,-36.3841,-33.1450,-38.9718,-36.7401,-36.3553,-34.3969,-39.6874,-37.0431,-35.3160,-33.1806,-38.7581,-37.6364,-36.0395,-33.6384,-38.9005,-37.5792,-35.5263,-34.6104,-34.3212,-33.1224,-32.2142,-28.5948,-35.5704,-33.5500,-29.8526,-29.3696,-34.2080,-32.7177,-33.2018,-29.6224,-35.5315,-31.8933,-30.6184,-28.7040,-33.9487,-32.2740,-31.3310,-28.9447,-34.3302,-32.2879,-30.7934,-29.9122,-34.5711,-34.3801,-30.8757,-29.8724,-33.8057,-32.1010,-32.2925,-29.5825
50.0000,-40.5709,-37.3520,-36.0916,-35.2603,-40.1397,-38.0694,-34.1532,-33.5426,-38.0785,-37.2969,-35.1843,-34.1978,-38.9859,-36.8150,-35.9150,-32.1984,-39.7773,-36.4053,-35.4018,-32.7523,-38.2954,-37.5235,-34.7019,-33.5224,-37.5652,-38.2255,-35.3717,-33.4926,-38.5587,-36.3162,-35.6393,-35.4643,-35.4940,-34.5489,-30.2760,-29.3187,-35.7434,-32.1590,-30.5179,-28.3448,-36.2165,-34.2175,-32.3900,-29.6754,-32.4941,-33.4155,-32.4252,-29.6193,-35.0682,-33.5377,-32.1080,-28.5785,-34.4010,-34.3327,-31.8309,-30.8930,-34.4532,-33.9090,-31.0525,-30.5107,-34.4449,-32.7227,-31.2516,-29.8670
60.0000,-40.0900,-37.7334,-35.0771,-33.3049,-38.7243,-36.6307,-35.6777,-34.8977,-37.2131,-36.6413,-37.2161,-34.0412,-38.0289,-36.7345,-36.1126,-33.3487,-37.4168,-37.0853,-35.4680,-34.4671,-38.6910,-38.1859,-35.3791,-32.8741,-37.7022,-38.4852,-35.8136,-35.1358,-40.2207,-38.1756,-34.3872,-35.4148,-36.1407,-34.4329,-31.0754,-30.0446,-35.2831,-32.5525,-31.6003,-30.4721,-35.6599,-34.2417,-31.7308,-29.8294,-34.8936,-32.1838,-30.8309,-31.5018,-34.2328,-32.4104,-32.4699,-29.3460,-34.5030,-32.5014,-32.3282,-30.3164,-34.0994,-32.1330,-31.9473,-29.8478,-34.3899,-34.6187,-32.7518,-30.3380
70.0000,-38.0773,-36.7675,-34.1989,-34.5604,-38.3424,-37.7409,-34.4671,-32.8673,-38.4118,-36.8898,-35.5006,-33.7373,-38.7303,-37.3011,-34.9260,-33.7629,-39.1723,-36.8065,-35.8974,-34.0225,-38.1323,-38.2030,-36.1553,-33.5609,-38.5126,-39.6105,-34.7360,-34.3514,-39.1585,-37.0390,-35.6699,-34.8694,-35.3003,-33.9508,-31.2397,-30.2438,-35.2566,-32.7879,-31.0145,-29.5884,-34.7067,-33.9184,-29.6304,-28.0185,-34.2375,-33.9904,-29.3607,-29.5461,-35.5864,-32.6920,-31.2337,-29.9443,-34.5007,-33.2147,-31.9349,-30.2131,-34.9673,-33.4364,-31.4079,-30.4481,-35.2193,-32.9912,-30.8284,-31.0233
80.0000,-38.8420,-37.3317,-35.9829,-34.3842,-39.2719,-37.4844,-35.4583,-34.1163,-38.5803,-36.5466,-35.4160,-33.2534,-38.4296,-36.1987,-36.2732,-34.8156,-37.7418,-36.4002,-35.3000,-32.8943,-39.4913,-37.0649,-35.7328,-33.0607,-37.8980,-38.2567,-35.8932,-33.1104,-39.8337,-37.2270,-34.6105,-33.6966,-33.8833,-33.3491,-32.6526,-29.8361,-35.6409,-34.0859,-30.8821,-29.5880,-35.6436,-32.8857,-32.0498,-30.5895,-34.9809,-33.8012,-31.6844,-30.0299,-33.8250,-31.8405,-31.4884,-29.5922,-33.3688,-32.4293,-30.9195,-28.8834,-34.9845,-34.6461,-31.9304,-30.0128,-33.8899,-33.8885,-32.0429,-30.5725
90.0000,-37.7936,-35.7027,-35.8065,-34.9453,-38.5590,-37.4102,-36.2739,-32.6063,-38.1189,-36.9717,-35.2074,-34.3686,-38.4696,-36.2620,-35.3457,-32.5276,-38.9424,-37.4438,-35.7437,-34.2823,-39.8768,-38.5310,-35.4632,-34.2366,-39.3285,-37.8061,-36.5436,-33.8968,-38.5074,-36.5491,-35.9655,-35.4952,-35.4664,-33.2763,-30.7143,-30.4943,-34.2319,-33.1285,-31.8108,-30.3087,-36.4628,-33.7373,-31.9311,-29.9624,-34.8031,-31.7324,-30.9086,-28.9243,-34.7057,-32.4125,-32.9309,-29.0772,-35.8397,-32.5179,-31.1028,-29.2171,-36.3179,-32.4028,-31.1912,-29.7753,-34.4980,-33.3789,-31.7840,-30.6276
