Y_mm,S1_RX1_Low,S1_RX2_Low,S1_RX3_Low,S1_RX4_Low,S1_RX5_Low,S1_RX6_Low,S1_RX7_Low,S1_RX8_Low,S1_RX9_Low,S1_RX10_Low,S1_RX11_Low,S1_RX12_Low,S1_RX13_Low,S1_RX14_Low,S1_RX15_Low,S1_RX16_Low,S1_RX17_Low,S1_RX18_Low,S1_RX19_Low,S1_RX20_Low,S1_RX21_Low,S1_RX22_Low,S1_RX23_Low,S1_RX24_Low,S1_RX25_Low,S1_RX26_Low,S1_RX27_Low,S1_RX28_Low,S1_RX29_Low,S1_RX30_Low,S1_RX31_Low,S1_RX32_Low,S1_RX1_High,S1_RX2_High,S1_RX3_High,S1_RX4_High,S1_RX5_High,S1_RX6_High,S1_RX7_High,S1_RX8_High,S1_RX9_High,S1_RX10_High,S1_RX11_High,S1_RX12_High,S1_RX13_High,S1_RX14_High,S1_RX15_High,S1_RX16_High,S1_RX17_High,S1_RX18_High,S1_RX19_High,S1_RX20_High,S1_RX21_High,S1_RX22_High,S1_RX23_High,S1_RX24_High,S1_RX25_High,S1_RX26_High,S1_RX27_High,S1_RX28_High,S1_RX29_High,S1_RX30_High,S1_RX31_High,S1_RX32_High
0.0000,-38.7015,-37.2690,-34.5876,-33.9563,-38.4653,-37.2796,-35.5660,-34.9313,-38.2067,-38.1419,-35.8567,-34.3287,-37.5759,-37.3864,-36.2347,-32.5567,-38.2336,-37.7435,-35.8007,-34.7774,-38.6886,-36.2360,-35.4447,-33.2193,-37.6636,-37.7543,-34.8914,-34.5678,-37.7367,-35.8542,-34.9690,-33.8176,-34.9298,-34.4860,-31.9455,-30.8448,-36.3406,-33.3372,-31.1624,-30.1918,-33.7841,-33.2708,-33.2513,-30.4344,-34.6972,-33.2003,-30.4176,-30.5170,-33.1642,-32.6943,-30.9402,-29.3135,-34.5477,-32.2726,-31.0083,-29.1217,-34.7299,-32.5849,-30.6610,-29.7412,-33.9421,-34.3005,-31.1325,-30.1354
10.0000,-39.8686,-38.3874,-35.3339,-32.9350,-37.0730,-35.9588,-35.5465,-33.4699,-38.8765,-38.4062,-35.9343,-32.9649,-39.4295,-37.0355,-35.7598,-33.6254,-38.2185,-36.5543,-36.3344,-33.7835,-39.0775,-36.3572,-34.4087,-35.1612,-37.6293,-37.3022,-35.8488,-33.7886,-40.0896,-38.7055,-36.6254,-34.7545,-34.6942,-33.0214,-31.2684,-30.2638,-34.9747,-33.8548,-30.4065,-30.4023,-34.9051,-34.2775,-31.7725,-29.9755,-34.5731,-32.7175,-31.3663,-28.8706,-33.7198,-33.3774,-31.3815,-30.1481,-34.5865,-33.9601,-32.4100,-27.9504,-36.3737,-34.7871,-32.1834,-29.9707,-36.1440,-32.8970,-31.3208,-29.4287
20.0000,-37.4711,-36.6272,-36.1697,-34.9889,-38.4135,-37.4858,-36.4177,-33.5022,-39.6562,-37.2006,-36.6346,-34.9891,-37.8959,-36.7106,-35.8542,-33.3314,-38.2020,-36.7901,-35.5261,-33.7422,-39.2119,-36.6006,-35.1093,-35.0493,-39.0804,-36.6873,-35.2832,-33.5794,-38.4433,-38.2284,-37.0914,-35.0095,-34.3026,-32.7828,-31.3636,-31.0812,-34.5657,-34.4056,-32.1015,-28.4901,-35.2372,-33.7157,-31.5383,-32.1409,-34.2233,-32.2267,-31.9055,-29.5144,-35.6402,-34.2915,-31.8242,-29.1089,-35.0108,-32.7071,-32.8290,-29.1263,-34.3093,-32.3713,-32.2462,-30.2284,-34.5161,-33.0177,-32.6615,-30.3121
30.0000,-38.0909,-38.8263,-36.1070,-34.3151,-38.2203,-38.3235,-35.2048,-32.8140,-37.8149,-36.3484,-36.6500,-33.6300,-38.7655,-37.0724,-36.4247,-34.4294,-39.0039,-37.2567,-36.1828,-33.3813,-37.7063,-37.2549,-35.9696,-32.7986,-38.8808,-36.4149,-35.4083,-34.7843,-37.8018,-36.7085,-36.1153,-33.9477,-34.3748,-33.5518,-31.4077,-30.6572,-33.5603,-33.1379,-31.7439,-30.2869,-34.8324,-32.9468,-32.5123,-29.9279,-33.9105,-32.7179,-32.4335,-31.3514,-34.0704,-32.2823,-31.2868,-30.1510,-34.0845,-34.2664,-31.8572,-29.4514,-35.4484,-33.2604,-32.1972,-31.1382,-33.5485,-34.0663,-31.5354,-28.9437
40.0000,-37.4795,-37.6208,-35.5307,-33.8785,-37.7993,-37.1028,-35.6109,-33.5867,-38.3248,-35.5071,-36.1097,-33.6486,-38.3733,-38.7113,-35.4547,-33.2044,-37.4830,-37.4074,-34.4834,-33.7929,-39.2552,-37.9060,-35.5251,-33.0326,-39.0845,-37.0217,-36.5506,-32.2901,-38.9639,-37.2428,-35.2847,-35.1678,-34.6618,-33.1615,-31.5057,-29.8390,-34.6655,-33.0221,-32.7417,-30.6263,-34.9846,-32.6598,-31.2598,-29.9564,-33.7255,-32.8392,-31.0244,-29.5052,-34.2613,-33.8624,-31.3141,-30.4199,-34.6050,-33.6480,-32.4641,-28.8847,-34.7002,-34.2563,-31.9061,-29.5043,-33.7046,-32.6452,-33.1552,-30.1704
50.0000,-38.1378,-37.3871,-36.1834,-34.1577,-38.1894,-36.3148,-37.2306,-33.5762,-38.8776,-36.4719,-35.5042,-35.5422,-37.7379,-37.1914,-35.0653,-35.5886,-39.2753,-36.3420,-35.1161,-34.3092,-38.8823,-38.2087,-34.5351,-32.6123,-39.5166,-37.2473,-36.4212,-33.3860,-40.0837,-37.4681,-35.8486,-32.8492,-32.9973,-33.5357,-31.4107,-29.0103,-34.2932,-32.5541,-30.5994,-30.5789,-33.7776,-33.9271,-31.1930,-30.0652,-34.1399,-34.6454,-31.6426,-29.3325,-34.1193,-33.4975,-31.9270,-29.1210,-35.7076,-34.1196,-30.7844,-29.1513,-34.5473,-32.6606,-31.5003,-30.6132,-35.1758,-33.7772,-30.9573,-29.0152
60.0000,-39.2138,-37.4601,-35.7447,-34.6301,-39.0583,-38.5700,-36.8179,-32.2970,-39.3670,-36.0407,-34.6337,-33.0117,-38.6911,-36.6583,-34.9000,-35.4192,-39.8119,-36.9263,-36.2808,-32.9225,-37.5335,-37.0596,-35.9195,-33.2109,-37.4918,-37.6141,-36.3308,-34.4322,-38.3470,-37.6895,-35.4604,-32.0765,-34.8159,-33.7155,-32.0778,-31.1518,-34.1548,-33.7104,-33.1607,-31.2282,-34.8997,-34.3855,-33.0881,-28.3043,-32.5199,-32.4737,-32.6334,-31.0542,-35.1956,-33.7628,-30.5075,-29.2547,-34.2155,-32.0139,-31.9736,-30.8453,-34.9666,-33.8348,-31.6377,-29.4767,-34.0094,-33.4955,-32.8349,-30.7823
70.0000,-38.7290,-36.0474,-36.3605,-33.3897,-37.7816,-38.8815,-36.2698,-33.7199,-38.3730,-37.9643,-35.4327,-33.7539,-37.0962,-37.2561,-36.0813,-34.5042,-37.8521,-35.8098,-35.2663,-34.1104,-38.2860,-36.5656,-35.9119,-33.2822,-39.7459,-37.4755,-35.1617,-33.2422,-38.2024,-36.8809,-36.4921,-35.1010,-34.7930,-32.0517,-32.2039,-30.0978,-33.1182,-33.8203,-30.6180,-28.2707,-35.3253,-33.5752,-32.2957,-30.5925,-33.2097,-32.9246,-30.6680,-29.0268,-35.9631,-32.8415,-30.8828,-29.4173,-33.5586,-33.4060,-31.7632,-30.3525,-33.7804,-34.6994,-30.5175,-30.0978,-34.6375,-34.6185,-31.6947,-29.9732
80.0000,-38.9373,-38.1168,-34.8629,-34.8814,-39.3481,-37.7096,-35.4361,-34.6332,-38.2235,-37.5806,-35.4451,-32.7097,-38.6546,-38.7586,-35.4851,-34.6270,-37.6672,-36.9197,-34.7299,-32.9080,-37.9737,-36.8441,-35.1501,-33.3597,-39.8850,-37.4639,-35.2174,-34.2972,-39.0191,-37.1639,-34.6371,-33.2866,-35.1399,-32.7655,-31.1386,-29.9910,-35.5458,-32.0035,-33.4640,-29.6898,-34.1112,-33.6853,-31.8565,-28.2742,-35.2580,-33.2898,-30.9780,-29.7038,-35.3695,-33.5115,-30.8650,-28.9679,-36.2561,-33.0397,-31.0270,-29.5391,-35.7541,-33.4306,-32.7119,-28.4489,-34.6585,-34.0655,-33.4331,-31.0518
90.0000,-38.7904,-38.2120,-37.8921,-33.2571,-38.7952,-37.2816,-36.9894,-34.7470,-38.0742,-37.0928,-34.5191,-32.0006,-38.3686,-37.4990,-34.8175,-34.9899,-39.8541,-37.2069,-36.1465,-34.0687,-39.0837,-37.1895,-34.8681,-33.3823,-37.8231,-38.4275,-35.2567,-34.4664,-37.7496,-36.9223,-35.2774,-32.6304,-34.8341,-32.2154,-32.1369,-29.7501,-34.2923,-33.3839,-31.0855,-29.6497,-33.8213,-33.8748,-32.1146,-28.9651,-34.5621,-33.5615,-31.6147,-28.9953,-34.2749,-33.6902,-31.5880,-30.3433,-34.7549,-33.4181,-30.8813,-29.9186,-35.5576,-33.8341,-30.9195,-29.2788,-34.9033,-32.4754,-31.3283,-31.3364
